PubmedID,Title,Publication Date,Non-academicAuthor(s),CompanyAffiliation(s),Corresponding Author Email
40751474,Title for 40751474,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751444,Title for 40751444,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751436,Title for 40751436,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751423,Title for 40751423,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751422,Title for 40751422,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751417,Title for 40751417,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751412,Title for 40751412,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751385,Title for 40751385,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751374,Title for 40751374,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
40751339,Title for 40751339,2023-01-01,,Dr. Jane Doe,jane.doe@biotech.com
